1, 1.386
2, 0.937
3, 0.774
4, 0.681
5, 0.618
6, 0.568
7, 0.524
8, 0.497
9, 0.466
10, 0.441
11, 0.421
12, 0.395
13, 0.379
14, 0.360
15, 0.352
16, 0.331
17, 0.317
18, 0.308
19, 0.294
20, 0.276
21, 0.272
22, 0.260
23, 0.253
24, 0.243
25, 0.232
26, 0.227
27, 0.218
28, 0.211
29, 0.202
30, 0.193
31, 0.198
32, 0.184
33, 0.180
34, 0.174
35, 0.170
36, 0.170
37, 0.160
38, 0.158
39, 0.157
40, 0.143
41, 0.147
42, 0.144
43, 0.143
44, 0.136
45, 0.134
46, 0.131
47, 0.128
48, 0.129
49, 0.123
50, 0.114
51, 0.119
52, 0.115
53, 0.114
54, 0.118
55, 0.110
56, 0.111
57, 0.109
58, 0.106
59, 0.102
60, 0.101
61, 0.103
62, 0.101
63, 0.101
64, 0.092
65, 0.093
66, 0.092
67, 0.092
68, 0.092
69, 0.093
70, 0.091
71, 0.084
72, 0.088
73, 0.083
74, 0.084
75, 0.083
76, 0.083
77, 0.076
78, 0.080
79, 0.079
80, 0.078
81, 0.078
82, 0.074
83, 0.079
84, 0.074
85, 0.072
86, 0.078
87, 0.076
88, 0.076
89, 0.070
90, 0.068
91, 0.069
92, 0.069
93, 0.071
94, 0.068
95, 0.066
96, 0.067
97, 0.069
98, 0.068
99, 0.064
100, 0.063
