1, 1.812
2, 1.302
3, 1.003
4, 0.831
5, 0.732
6, 0.656
7, 0.593
8, 0.544
9, 0.514
10, 0.476
11, 0.452
12, 0.423
13, 0.403
14, 0.383
15, 0.364
16, 0.347
17, 0.328
18, 0.317
19, 0.302
20, 0.293
21, 0.276
22, 0.268
23, 0.259
24, 0.245
25, 0.237
26, 0.229
27, 0.218
28, 0.209
29, 0.201
30, 0.198
31, 0.193
32, 0.188
33, 0.182
34, 0.175
35, 0.172
36, 0.163
37, 0.158
38, 0.160
39, 0.153
40, 0.148
41, 0.142
42, 0.138
43, 0.133
44, 0.133
45, 0.130
46, 0.128
47, 0.124
48, 0.123
49, 0.118
50, 0.116
51, 0.113
52, 0.112
53, 0.108
54, 0.109
55, 0.105
56, 0.105
57, 0.103
58, 0.102
59, 0.099
60, 0.096
61, 0.094
62, 0.092
63, 0.093
64, 0.092
65, 0.090
66, 0.087
67, 0.084
68, 0.086
69, 0.086
70, 0.082
71, 0.080
72, 0.080
73, 0.081
74, 0.077
75, 0.079
76, 0.077
77, 0.075
78, 0.076
79, 0.068
80, 0.073
81, 0.068
82, 0.070
83, 0.070
84, 0.068
85, 0.068
86, 0.066
87, 0.068
88, 0.068
89, 0.064
90, 0.066
91, 0.063
92, 0.064
93, 0.063
94, 0.061
95, 0.061
96, 0.061
97, 0.061
98, 0.060
99, 0.062
100, 0.056
