1, 1.385
2, 0.988
3, 0.817
4, 0.712
5, 0.640
6, 0.590
7, 0.545
8, 0.502
9, 0.474
10, 0.445
11, 0.420
12, 0.402
13, 0.382
14, 0.362
15, 0.344
16, 0.329
17, 0.316
18, 0.300
19, 0.292
20, 0.273
21, 0.266
22, 0.257
23, 0.247
24, 0.240
25, 0.229
26, 0.220
27, 0.211
28, 0.206
29, 0.196
30, 0.195
31, 0.183
32, 0.179
33, 0.175
34, 0.170
35, 0.163
36, 0.162
37, 0.157
38, 0.148
39, 0.146
40, 0.140
41, 0.136
42, 0.134
43, 0.133
44, 0.131
45, 0.126
46, 0.121
47, 0.120
48, 0.119
49, 0.116
50, 0.114
51, 0.110
52, 0.109
53, 0.106
54, 0.103
55, 0.101
56, 0.099
57, 0.102
58, 0.097
59, 0.094
60, 0.092
61, 0.093
62, 0.090
63, 0.089
64, 0.089
65, 0.085
66, 0.085
67, 0.082
68, 0.082
69, 0.082
70, 0.081
71, 0.079
72, 0.081
73, 0.077
74, 0.075
75, 0.073
76, 0.076
77, 0.074
78, 0.075
79, 0.071
80, 0.071
81, 0.071
82, 0.068
83, 0.065
84, 0.067
85, 0.070
86, 0.066
87, 0.067
88, 0.062
89, 0.066
90, 0.064
91, 0.064
92, 0.061
93, 0.064
94, 0.056
95, 0.059
96, 0.057
97, 0.061
98, 0.061
99, 0.056
100, 0.058
