1, 1.640
2, 0.995
3, 0.843
4, 0.746
5, 0.668
6, 0.622
7, 0.579
8, 0.544
9, 0.514
10, 0.486
11, 0.470
12, 0.438
13, 0.425
14, 0.402
15, 0.396
16, 0.377
17, 0.361
18, 0.350
19, 0.326
20, 0.316
21, 0.311
22, 0.294
23, 0.294
24, 0.272
25, 0.262
26, 0.255
27, 0.248
28, 0.235
29, 0.229
30, 0.220
31, 0.210
32, 0.212
33, 0.198
34, 0.191
35, 0.185
36, 0.187
37, 0.174
38, 0.174
39, 0.167
40, 0.159
41, 0.158
42, 0.155
43, 0.154
44, 0.148
45, 0.142
46, 0.144
47, 0.136
48, 0.134
49, 0.129
50, 0.130
51, 0.124
52, 0.124
53, 0.124
54, 0.122
55, 0.119
56, 0.110
57, 0.111
58, 0.107
59, 0.108
60, 0.108
61, 0.104
62, 0.103
63, 0.102
64, 0.099
65, 0.095
66, 0.096
67, 0.100
68, 0.091
69, 0.095
70, 0.092
71, 0.089
72, 0.090
73, 0.086
74, 0.084
75, 0.084
76, 0.087
77, 0.084
78, 0.084
79, 0.084
80, 0.078
81, 0.080
82, 0.078
83, 0.084
84, 0.075
85, 0.071
86, 0.080
87, 0.071
88, 0.078
89, 0.073
90, 0.069
91, 0.068
92, 0.069
93, 0.073
94, 0.072
95, 0.069
96, 0.071
97, 0.063
98, 0.061
99, 0.061
100, 0.070
